"habitants","municipi"
"84500","SANT BOI DE LLOBREGAT"
"580","SANT BOI DE LLUÇANES"
"14953","SANT CARLES DE LA RAPITA"
"3438","SANT CEBRIA DE VALLALTA"
"18136","SANT CELONI"
"4160","SANT CLIMENT DE LLOBREGAT"
"707","SANT CLIMENT SESCEBES"
"92977","SANT CUGAT DEL VALLES"
"1009","SANT CUGAT SESGARRIGUES"
"122","SANT ESTEVE DE LA SARGA"
"2864","SANT ESTEVE DE PALAUTORDERA"
"7696","SANT ESTEVE SESROVIRES"
"797","SANT FELIU DE BUIXALLEU"
"6363","SANT FELIU DE CODINES"
"22097","SANT FELIU DE GUIXOLS"
"45467","SANT FELIU DE LLOBREGAT"
"1437","SANT FELIU DE PALLEROLS"
"605","SANT FELIU SASSERRA"
"236","SANT FERRIOL"
"8853","SANT FOST DE CAMPSENTELLES"
"8837","SANT FRUITOS DE BAGES"
"3928","SANT GREGORI"
"1037","SANT GUIM DE FREIXENET"
"181","SANT GUIM DE LA PLANA"
"5703","SANT HILARI SACALM"
"3540","SANT HIPOLIT DE VOLTREGA"
"1342","SANT ISCLE DE VALLALTA"
"3527","SANT JAUME D'ENVEJA"
"30","SANT JAUME DE FRONTANYA"
"871","SANT JAUME DE LLIERCA"
"2624","SANT JAUME DELS DOMENYS"
"3224","SANT JOAN DE LES ABADESSES"
"498","SANT JOAN DE MOLLET"
"10998","SANT JOAN DE VILATORRADA"
"34267","SANT JOAN DESPI"
"3044","SANT JOAN LES FONTS"
"760","SANT JORDI DESVALLS"
"229","SANT JULIA DE CERDANYOLA"
"3576","SANT JULIA DE RAMIS"
"3140","SANT JULIA DE VILATORTA"
"1313","SANT JULIA DEL LLOR I BONMATI"
"18670","SANT JUST DESVERN"
"2428","SANT LLORENÇ D'HORTONS"
"265","SANT LLORENÇ DE LA MUGA"
"960","SANT LLORENÇ DE MORUNYS"
"2417","SANT LLORENÇ SAVALL"
"114","SANT MARTI D'ALBARS"
"1184","SANT MARTI DE CENTELLES"
"641","SANT MARTI DE LLEMENA"
"639","SANT MARTI DE RIUCORB"
"1228","SANT MARTI DE TOUS"
"3261","SANT MARTI SARROCA"
"342","SANT MARTI SESGUEIOLES"
"251","SANT MARTI VELL"
"608","SANT MATEU DE BAGES"
"229","SANT MIQUEL DE CAMPMAJOR"
"761","SANT MIQUEL DE FLUVIA"
"166","SANT MORI"
"688","SANT PAU DE SEGURIES"
"31111","SANT PERE DE RIBES"
"2380","SANT PERE DE RIUDEBITLLES"
"2470","SANT PERE DE TORELLO"
"4544","SANT PERE DE VILAMAJOR"
"2090","SANT PERE PESCADOR"
"151","SANT PERE SALLAVINERA"
"5428","SANT POL DE MAR"
"2317","SANT QUINTI DE MEDIONA"
"2154","SANT QUIRZE DE BESORA"
"20195","SANT QUIRZE DEL VALLES"
"631","SANT QUIRZE SAFAJA"
"487","SANT RAMON"
"12841","SANT SADURNI D'ANOIA"
"76","SANT SADURNI D'OSORMORT"
"3221","SANT SALVADOR DE GUARDIOLA"
"9767","SANT VICENÇ DE CASTELLET"
"6452","SANT VICENÇ DE MONTALT"
"2058","SANT VICENÇ DE TORELLO"
"28268","SANT VICENÇ DELS HORTS"
"3715","SANTA BARBARA"
"182","SANTA CECILIA DE VOLTREGA"
"8268","SANTA COLOMA DE CERVELLO"
"13363","SANTA COLOMA DE FARNERS"
"120443","SANTA COLOMA DE GRAMENET"
"2672","SANTA COLOMA DE QUERALT"
"5287","SANTA CRISTINA D'ARO"
"2278","SANTA EUGENIA DE BERGA"
"1383","SANTA EULALIA DE RIUPRIMER"
"7426","SANTA EULALIA DE RONÇANA"
"367","SANTA FE DEL PENEDES"
"368","SANTA LLOGAIA D'ALGUEMA"
"10225","SANTA MARGARIDA DE MONTBUI"
"7676","SANTA MARGARIDA I ELS MONJOS"
"1024","SANTA MARIA D'OLO"
"161","SANTA MARIA DE BESORA"
"890","SANTA MARIA DE MARTORELLES"
"184","SANTA MARIA DE MERLES"
"119","SANTA MARIA DE MIRALLES"
"9630","SANTA MARIA DE PALAUTORDERA"
"3353","SANTA OLIVA"
"1614","SANTA PAU"
"25999","SANTA PERPETUA DE MOGODA"
"3548","SANTA SUSANNA"
"7604","SANTPEDOR"
"1538","SARRAL"
"5229","SARRIA DE TER"
"116","SARROCA DE BELLERA"
"358","SARROCA DE LLEIDA"
"856","SAUS, CAMALLERA I LLAMPAIES"
"53","SAVALLA DEL COMTAT"
"1708","SECUITA"
"195","SELVA DE MAR"
"5683","SELVA DEL CAMP"
"44","SENAN"
"5640","SENIA"
"139","SENTERADA"
"414","SENTIU DE SIO"
"9235","SENTMENAT"
"1133","SERINYA"
"1946","SEROS"
"222","SERRA DE DARO"
"170","SETCASES"
"12206","SEU D'URGELL"
"3544","SEVA"
"748","SIDAMON"
"6219","SILS"
"29553","SITGES"
"171","SIURANA"
"78","SOBREMUNT"
"332","SOLERAS"
"632","SOLIVELLA"
"9137","SOLSONA"
"212","SORA"
"420","SORIGUERA"
"2154","SORT"
"1761","SOSES"
"3104","SUBIRATS"
"840","SUDANELL"
"343","SUNYER"
"5948","SURIA"
"93","SUSQUEDA"
"318","TAGAMANENT"
"209","TALAMANCA"
"595","TALARN"
"279","TALAVERA"
"454","TALLADA D'EMPORDA"
"6640","TARADELL"
"136496","TARRAGONA"
"17445","TARREGA"
"102","TARRES"
"188","TARROJA DE SEGARRA"
"322","TAVERNOLES"
"105","TAVERTET"
"6427","TEIA"
"1360","TERMENS"
"338","TERRADES"
"223627","TERRASSA"
"8945","TIANA"
"134","TIRVIA"
"77","TIURANA"
"902","TIVENYS"
"1619","TIVISSA"
"8356","TONA"
"1237","TORA"
"17519","TORDERA"
"14400","TORELLO"
"138","TORMSS"
"822","TORNABOUS"
"759","TORRE DE CABDELLA"
"3741","TORRE DE CLARAMUNT"
"131","TORRE DE FONTAUBELLA"
"601","TORRE DE L'ESPANYOL"
"267","TORREBESSES"
"16567","TORREDEMBARRA"
"4694","TORREFARRERA"
"607","TORREFETA I FLOREJACS"
"2179","TORREGROSSA"
"735","TORRELAMEU"
"1422","TORRELAVIT"
"2398","TORRELLES DE FOIX"
"6073","TORRELLES DE LLOBREGAT"
"164","TORRENT"
"2366","TORRES DE SEGRE"
"398","TORRE-SERONA"
"703","TORROELLA DE FLUVIA"
"11836","TORROELLA DE MONTGRI"
"152","TORROJA DEL PRIORAT"
"818","TORTELLA"
"33439","TORTOSA"
"168","TOSES"
"5818","TOSSA DE MAR"
"5911","TREMP"
"1177","ULLA"
"2089","ULLASTRELL"
"274","ULLASTRET"
"6525","ULLDECONA"
"398","ULLDEMOLINS"
"225","ULTRAMORT"
"196","URUS"
"6832","VACARISSES"
"89","VAJOL"
"3093","VALL D'EN BAS"
"1275","VALL DE BIANYA"
"1019","VALL DE BOI"
"350","VALL DE CARDOS"
"1357","VALLBONA D'ANOIA"
"243","VALLBONA DE LES MONGES"
"249","VALLCEBRE"
"88","VALLCLARA"
"1906","VALLFOGONA DE BALAGUER"
"196","VALLFOGONA DE RIPOLLES"
"77","VALLFOGONA DE RIUCORB"
"2988","VALLGORGUINA"
"15312","VALLIRANA"
"897","VALL-LLOBREGA"
"1774","VALLMOLL"
"2558","VALLROMANES"
"24477","VALLS"
"245","VALLS D'AGUILAR"
"784","VALLS DE VALIRA"
"6603","VANDELLOS I L'HOSPITALET DE L'INFANT"
"149","VANSA I FORNOLS"
"175","VECIANA"
"38373","VENDRELL"
"846","VENTALLO"
"902","VERDU"
"1169","VERGES"
"417","VESPELLA DE GAIA"
"47630","VIC"
"177","VIDRA"
"7951","VIDRERES"
"5611","VIELHA E MIJARAN"
"729","VILABELLA"
"993","VILABERTRAN"
"3063","VILABLAREIX"
"419","VILADA"
"458","VILADAMAT"
"206","VILADASENS"
"67197","VILADECANS"
"7545","VILADECAVALLS"
"835","VILADEMULS"
"1047","VILADRAU"
"5421","VILAFANT"
"40154","VILAFRANCA DEL PENEDES"
"560","VILAGRASSA"
"1116","VILAJUÏGA"
"621","VILALBA DELS ARCS"
"753","VILALBA SASSERRA"
"549","VILALLER"
"398","VILALLONGA DE TER"
"2405","VILALLONGA DEL CAMP"
"377","VILAMACOLUM"
"1161","VILAMALLA"
"212","VILAMANISCLE"
"178","VILAMOS"
"386","VILANANT"
"565","VILANOVA D'ESCORNALBOU"
"1183","VILANOVA DE BELLPUIG"
"200","VILANOVA DE L'AGUDA"
"1088","VILANOVA DE LA BARCA"
"415","VILANOVA DE MEIA"
"107","VILANOVA DE PRADES"
"312","VILANOVA DE SAU"
"985","VILANOVA DE SEGRIA"
"12596","VILANOVA DEL CAMI"
"5503","VILANOVA DEL VALLES"
"67733","VILANOVA I LA GELTRU"
"555","VILAPLANA"
"1276","VILA-RODONA"
"758","VILA-SACRA"
"734","VILA-SANA"
"22555","VILA-SECA"
"9072","VILASSAR DE DALT"
"21035","VILASSAR DE MAR"
"158","VILAÜR"
"443","VILAVERD"
"133","VILELLA ALTA"
"204","VILELLA BAIXA"
"3333","VILOBI D'ONYAR"
"1102","VILOBI DEL PENEDES"
"204","VILOPRIU"
"173","VILOSELL"
"890","VIMBODI I POBLET"
"450","VINAIXA"
"425","VINEBRE"
"2124","VINYOLS I ELS ARCS"
"172","VIVER I SERRATEIX"
"1154","XERTA"
